Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Quartile,Government consumption,data,Transfers and subsidies,data,Government investment,data,Top marginal income tax rate,data,Top marginal income and payroll tax rate,data,Top marginal tax rate,State ownership of assets,Size of Government,Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights,Money growth,data,Standard deviation of inflation,data,Inflation: Most recent year,data,Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),data,Mean tariff rate,data,Standard deviation of tariff rates,data,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting,Regulatory trade barriers,Black market exchange rates,Financial Openness,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Impartial Public Administration,Licensing restrictions,Tax compliance,Business regulations,Regulation
2015,AGO,Angola,5.67,140,4,4.78,23.74,8.89,4.59,10,14.46,10,17,9,25,9.5,4.49,7.53,3.77,3.34,2.78,3.33,3.65,2.3,5.42,3.02,0.88,3.25,9.05,4.74,5.55,11.14,7.94,10.28,5,6.89,8.99,1.51,7.72,11.4,4.25,14.36,6.99,3.13,0,1.57,10,0,3.08,0.11,1.06,4.9,5,9.19,9,7.73,8.9,2.66,5.17,4,6.63,0,4.56,2.76,1.56,8.56,2.73,7.61,6.78,5,5.76
2015,ALB,Albania,7.71,35,1,8.19,12.17,7.01,11.49,8.11,21.6,9,23,7,34,8,7.77,7.81,4.65,4.04,4.23,8.33,4.85,4.39,6.39,6.72,1,5.45,9.29,3.54,9.43,1.43,9.62,1.89,10,9.59,9.31,1.03,9.24,3.8,8.02,4.94,8.86,5.44,9.41,7.42,10,4.16,4.62,8.3,5.69,7.99,10,7.63,10,9.21,5.57,5.03,6.09,8,6.3,10,6.83,6.08,6,9.73,6.37,7.32,7.07,7.1,7.71
2015,ARE,United Arab Emirates,7.01,80,2,4.12,25.99,8.82,4.84,0.75,47.36,10,0,10,16,10,4.04,5.55,6.03,7.49,7.9,8.33,5.75,5.51,9.91,9.04,0.29,4.85,8.4,8.02,6.09,9.78,9.19,4.07,10,8.42,10,0,9.06,4.7,7.16,7.1,8.74,7.45,8.3,7.87,10,10,5.83,5.31,7.05,8.42,5,8.24,10,7.75,10,7.23,8.58,6,10,0,6.97,7.21,9.33,9.59,6.74,10,9.87,8.79,7.83
2015,ARG,Argentina,5.23,151,4,5.43,21.54,6.05,15,7.61,23.37,7,35,1,58,4,7.18,6.05,4.81,4.05,3.66,7.5,4.14,4.06,6.86,3.28,0.88,4.51,5.18,24.1,5.92,10.2,4.72,26.38,10,6.46,4.71,7.93,7.28,13.6,6.03,9.93,6.01,4.04,5.16,4.6,0,0,0.77,7.97,2.91,3.38,5,5.29,10,6.76,1.67,2.26,3.35,10,2.52,10,4.97,2.05,4.44,9.1,6.6,5.35,5.98,5.59,5.77
2015,ARM,Armenia,7.78,31,1,7.54,14.38,7.75,8.76,10,14.13,5,36,5,36,5,9.07,7.87,4.32,4.16,5.22,5.83,4.33,5.2,9.8,5.68,1,5.57,9.54,2.32,9.13,2.16,9.25,3.73,10,9.48,8.87,1.7,8.78,6.1,8.39,4.03,8.68,6.14,8.47,7.3,10,10,5.38,10,8.46,8.61,10,6.99,10,9,5.57,6.01,7.37,10,8.99,0,6.32,4.57,5.78,9.86,4.68,9.55,6.49,6.82,7.38
2015,AUS,Australia,8.17,9,1,4.71,23.99,6.66,12.74,10,12.02,5,47,5,49,5,7.51,6.78,8.51,7.88,8.09,10,8.5,6.83,8.21,8.76,1,8.35,8.82,5.88,8.92,2.7,9.7,1.51,10,9.36,8.9,1.65,9.5,2.5,8.5,3.75,8.97,6.5,8.42,7.46,10,9.4,4.62,0.11,4.71,7.78,10,8.75,10,9.58,8.9,3.56,5.56,10,7.93,10,7.66,3.98,10,9.91,9.43,9.09,8.82,8.54,8.59
2015,AUT,Austria,7.88,24,1,3.69,27.44,3.1,25.82,10,13.14,4,50,3,54,3.5,7.78,5.61,7.67,7.87,8.19,10,8.71,6.86,8.1,8.63,1,8.26,8.76,6.2,9.89,0.28,9.82,0.9,10,9.62,9.1,1.35,8.98,5.1,7,7.5,8.36,6.4,9.96,8.18,10,10,3.08,7.74,6.94,8.37,8,9.38,10,9.13,8.9,3.33,2.08,6,10,3,5.55,4.45,8.89,9.28,9.06,7.3,8.53,7.92,7.53
2015,AZE,Azerbaijan,6.31,116,3,6.48,17.96,7.37,10.16,1.53,44.65,9,25,4,41,6.5,4.8,5.34,3.44,3.65,5.4,5,3.79,7.25,9.77,5.45,0.82,4.99,9.7,1.5,5.36,11.59,9.17,4.17,5,7.31,9.03,1.45,8.18,9.1,6.61,8.46,7.94,5.59,7.64,6.61,10,4.66,4.62,1.44,3.57,7.03,5,8.72,9,7.57,8.33,5.84,7.45,8,7.76,1,6.4,5.52,6.44,9.89,2.79,7.6,7.81,6.68,6.88
2015,BDI,Burundi,6.07,126,4,5.02,22.92,10,0.47,7.54,23.61,8,30,5,38,6.5,5.36,6.88,2.69,3.34,2.99,,3.06,2.65,8.51,2,0.82,3.29,8.87,5.66,8.36,4.11,8.89,5.55,5,7.78,8.07,2.9,7.44,12.8,5.19,12.03,6.9,3.94,1.14,2.54,10,0,1.54,10,3.85,5.82,8,0,10,6,10,3.67,7.92,8,7.76,10,7.89,3.37,2.67,9.73,2.97,9.29,7.4,5.9,6.6
2015,BEL,Belgium,7.68,40,1,2.41,31.82,2.01,29.82,10,10.09,2,50-55,0,67-70,1,8.01,4.69,7.7,7.57,7.89,10,7.82,6.53,4.77,8.13,1,7.55,9,5.01,9.77,0.57,9.89,0.56,10,9.66,9.1,1.35,8.98,5.1,7,7.5,8.36,6.62,9.96,8.29,10,10,3.85,7.74,7.2,8.46,8,8.82,10,8.94,8.9,3.74,4.79,6,10,10,7.24,3.73,8.67,9.76,9.53,7.46,8.2,7.89,8.02
