Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Quartile,Government consumption,data,Transfers and subsidies,data,Government investment,data,Top marginal income tax rate,data,Top marginal income and payroll tax rate,data,Top marginal tax rate,State ownership of assets,Size of Government,Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights,Money growth,data,Standard deviation of inflation,data,Inflation: Most recent year,data,Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),data,Mean tariff rate,data,Standard deviation of tariff rates,data,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting,Regulatory trade barriers,Black market exchange rates,Financial Openness,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Impartial Public Administration,Licensing restrictions,Tax compliance,Business regulations,Regulation
2016,AGO,Angola,5.43,152,4,5.92,19.86,9.37,2.81,10,14.62,10,17,9,25,9.5,4.49,7.86,3.77,3.34,2.78,3.33,3.65,2.3,5.46,3.02,0.88,3.25,9.39,3.07,4.99,12.53,3.05,34.73,5,5.61,9.33,1.01,7.72,11.4,4.25,14.36,7.1,3.13,0.92,2.02,10,0,3.08,0.11,1.06,5.05,5,6.53,8,6.51,8.9,2.66,5.17,4,6.63,0,4.56,2.76,1.33,8.66,2.73,8.1,6.78,5.06,5.38
2016,ALB,Albania,7.71,36,1,8.23,12.01,6.74,12.45,8.36,20.75,9,23,7,34,8,7.77,7.82,4.59,4.09,4.51,8.33,4.85,4.39,6.49,6.93,1,5.52,8.99,5.07,9.48,1.29,9.74,1.28,10,9.55,9.63,0.56,9.24,3.8,8.02,4.94,8.96,5.57,9.41,7.49,10,4.16,4.62,8.3,5.69,8.04,10,7.3,9,8.77,5.57,5.4,6.23,8,6.3,10,6.92,6.07,6,9.71,6.37,7.32,7.07,7.09,7.59
2016,ARE,United Arab Emirates,7.17,70,2,4.2,25.72,8.83,4.81,0.92,46.77,10,0,10,16,10,4.69,5.73,6.12,7.72,8.2,8.33,5.75,5.83,9.91,9.12,0.29,4.93,9.22,3.92,7.52,6.19,9.68,1.62,10,9.1,10,0,9.06,4.7,6.99,7.52,8.68,7.68,8.3,7.99,10,10,5.83,5.31,7.05,8.43,5,8.4,10,7.8,10,7.46,8.32,6,10,0,6.96,7.25,5.78,9.59,6.74,10,9.87,8.2,7.66
2016,ARG,Argentina,5.62,148,4,5.44,21.49,5.99,15.2,7.47,23.85,7,35,1,58,4,7.33,6.05,5.44,4.28,4.26,7.5,4.41,3.82,6.86,3.39,0.88,4.7,5.23,23.83,5.22,11.94,2,40,10,5.61,6.06,5.91,7.26,13.7,5.94,10.14,6.42,4.47,5.16,4.81,10,1.66,0.77,7.97,3.46,6.17,5,4.26,7,5.42,2.77,2.19,3.43,10,2.52,10,5.15,2.4,6.67,9.12,6.71,5.25,6.51,6.11,5.56
2016,ARM,Armenia,7.71,36,1,7.4,14.83,7.19,10.8,9.3,17.46,5,36,5,36,5,9.07,7.59,4.4,4.37,5.32,5.83,4.43,5.2,9.8,5.71,1,5.63,9.08,4.61,9.26,1.84,9.75,-1.27,10,9.52,9.04,1.44,8.76,6.2,8.02,4.96,8.61,5.92,8.47,7.19,10,8.34,5.38,10,7.91,8.43,10,7.31,10,9.1,5.57,5.77,6.82,10,9.25,0,6.23,4.55,6,9.85,4.68,9.32,6.49,6.81,7.38
2016,AUS,Australia,8.22,9,1,4.51,24.66,6.74,12.47,10,12.78,5,47,5,49,5,8.17,6.88,8.57,7.73,8,10,8.5,6.76,8.21,8.71,1,8.31,8.91,5.45,9.5,1.25,9.74,1.28,10,9.54,8.58,2.13,9.5,2.5,8.38,4.05,8.82,6.43,8.42,7.43,10,10,4.62,0.11,4.91,7.79,10,8.73,10,9.58,8.9,3.73,5.63,10,7.93,10,7.7,3.81,10,9.91,9.64,8.94,8.82,8.52,8.6
2016,AUT,Austria,7.83,27,1,3.68,27.5,3.23,25.34,10,12.86,4,55,3,59,3.5,7.78,5.64,7.75,7.61,8.09,10,8.71,6.74,8.1,8.5,1,8.19,8.03,9.83,9.88,0.31,9.82,0.89,10,9.43,9,1.5,8.96,5.2,6.84,7.9,8.27,6.54,9.96,8.25,10,10,3.08,7.74,6.94,8.37,8,9.39,10,9.13,8.9,3.35,2.14,6,10,3,5.57,4.15,8.89,9.23,9.06,7.3,8.53,7.86,7.52
2016,AZE,Azerbaijan,6.43,114,3,6.49,17.94,7.94,8.07,1.97,43.1,9,25,4,41,6.5,4.77,5.53,3.89,3.94,6.32,5,3.86,7.25,9.83,6.17,0.82,5.27,9.24,3.8,6.65,8.38,9.16,4.18,5,7.51,9.13,1.31,8.2,9,6.69,8.28,8,5.96,7.64,6.8,10,4.66,4.62,1.44,3.57,7.09,5,8.4,9,7.47,8.33,6.14,7.24,6,7.76,1,6.08,6.07,6.44,9.84,2.83,6.96,7.81,6.66,6.73
2016,BDI,Burundi,6.22,120,3,4.93,23.23,10,0.47,7.87,22.47,8,30,5,38,6.5,4.97,6.85,2.81,2.87,3.21,,2.96,2.65,8.55,3.36,0.82,3.44,8.4,7.99,8.05,4.88,8.89,5.54,10,8.84,8.07,2.9,7.44,12.8,5.19,12.03,6.9,3.67,1.14,2.4,10,0,1.54,10,3.85,5.79,5,0,10,5,10,3.66,7.41,8,7.76,10,7.8,3.43,2.67,9.52,1.67,9.76,7.4,5.74,6.18
2016,BEL,Belgium,7.59,46,2,2.49,31.53,1.98,29.94,10,9.52,2,50-55,0,67-70,1,8.01,4.7,7.49,7.36,7.91,10,7.78,6.41,4.77,7.67,1,7.42,8.09,9.53,9.81,0.48,9.61,1.97,10,9.38,9,1.5,8.96,5.2,6.84,7.9,8.27,6.15,9.96,8.06,10,10,3.85,7.74,7.2,8.38,8,8.82,10,8.94,8.9,3.65,5.42,6,10,10,7.33,3.42,8.67,9.76,9.53,7.46,8.48,7.88,8.05
