Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Quartile,Government consumption,data,Transfers and subsidies,data,Government investment,data,Top marginal income tax rate,data,Top marginal income and payroll tax rate,data,Top marginal tax rate,State ownership of assets,Size of Government,Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights,Money growth,data,Standard deviation of inflation,data,Inflation: Most recent year,data,Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),data,Mean tariff rate,data,Standard deviation of tariff rates,data,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting,Regulatory trade barriers,Black market exchange rates,Financial Openness,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Impartial Public Administration,Licensing restrictions,Tax compliance,Business regulations,Regulation
2017,BEN,Benin,6.31,119,3,8.06,12.61,9.77,1.34,6.16,28.43,4,45,3,46,3.5,7.91,7.08,5.63,5.19,4.63,,5.93,1.07,6.61,5.81,0.76,4.4,9.4,-3.02,9.59,1.04,9.98,0.08,0,7.24,5.84,6.24,7.56,12.2,7.02,7.44,6.81,4.73,5.16,4.94,10,1.66,0.77,5.97,2.8,6.14,10,5.46,5,6.82,7.77,5.22,7.74,8,7.57,1,6.22,3.78,4.22,9.67,7.75,9.48,7.73,7.11,6.71
2017,BFA,Burkina Faso,6.06,132,4,5.58,21.04,9.59,2.02,1.31,45.4,9,25,4,42,6.5,6.99,5.99,5.23,4.76,4.7,3.33,6.04,2.14,4.79,5.98,0.82,4.21,9.18,-4.1,8.5,3.74,9.93,0.36,0,6.9,7.26,4.11,7.56,12.2,7.02,7.44,7.28,5.27,3.59,4.43,10,1.66,0.77,7.3,3.24,6.24,10,8.03,5,7.68,6.67,4.46,6.41,6,7.94,10,6.91,3.68,4.22,9.12,6.32,8.94,5.66,6.32,6.97
2017,BGD,Bangladesh,6.09,130,4,9.4,8.03,9.71,1.55,7.34,24.3,8,30,8,30,8,6.95,8.28,3.29,3.55,4.39,4.17,3.24,0.94,2.66,3.9,0.76,2.88,9.3,3.49,9.75,0.62,8.86,5.7,0,6.98,5.55,6.68,7.22,13.9,6.16,9.59,6.31,6.26,0,3.13,10,1.66,0,10,3.89,5.83,5,8.65,10,7.88,10,5.17,6.5,10,1.37,10,7.17,3.94,2.44,9.15,1.63,6.61,2.16,4.32,6.46
2017,BGR,Bulgaria,7.79,32,1,5.74,20.47,6.13,14.7,7.48,23.82,10,10,7,34,8.5,7.98,7.17,5.57,4.79,4.25,8.33,5.22,5.08,8.69,4.39,1,5.79,8.99,5.07,9.34,1.65,9.59,2.06,10,9.48,9,1.5,8.98,5.1,6.7,8.26,8.23,5.37,9.84,7.6,10,10,6.92,8.85,8.59,8.6,10,10,10,10,5.57,4.63,6.92,6,9.25,10,7.06,3.96,6,9.25,5.34,9.33,5.91,6.63,7.9
2017,BHR,Bahrain,7.16,69,2,3.43,28.35,8.03,7.72,9.65,16.23,10,0,10,17,10,2.55,6.73,5.38,5.37,7.44,5,4.82,4.79,8.86,7.76,0.41,4.36,9.92,-0.42,7.77,5.57,9.72,1.39,10,9.35,9.48,0.78,9.04,4.8,6.41,8.98,8.31,6.71,6.41,6.56,10,10,6.15,7.41,7.86,8.18,10,2.83,10,7.61,8.33,5.69,7.7,8,7.03,10,7.79,6.08,8,9.71,2.08,8.07,2.41,6.06,7.15
2017,BHS,"Bahamas, The",7.34,60,2,7.04,16.05,8.34,6.58,10,10.46,10,0,10,9,10,,8.85,7.15,5.9,,10,6.67,4.6,6.28,,1,6.76,7.6,11.99,8.96,2.61,9.7,1.52,0,6.56,4.79,7.82,3.36,33.2,1.9,20.25,3.35,6.71,8.11,7.41,10,0,0.77,10,3.59,6.09,10,8.09,10,9.36,8.9,,,8,6.55,10,8.36,,5.78,9.19,,7.98,,7.65,8.46
2017,BIH,Bosnia and Herzegovina,6.89,85,3,5.71,20.57,5.64,16.51,7.71,23.01,10,10,3,47,6.5,6.78,6.47,4.33,4.05,4.02,,5.04,3.79,7.84,4.25,0.88,4.48,8.65,6.73,9.69,0.77,9.77,1.17,5,8.28,10,0,8.74,6.3,6.82,7.94,8.52,5.22,9.6,7.41,10,1.66,3.08,10,4.91,7.71,10,10,10,10,5.57,3.65,7.35,10,7.51,10,7.35,2.24,5.11,7.21,4.51,7.74,4.15,5.16,7.5
2017,BLR,Belarus,6.68,98,3,5.2,22.33,5.5,17.02,10,12.22,10,13,5,36,7.5,3.79,6.4,3.96,5.66,,5,4.71,6.97,9.94,,0.88,5.69,8.4,8.01,7.59,6.04,8.79,6.03,5,7.44,8.33,2.51,8.64,6.8,6.71,8.23,7.89,6.15,9.74,7.95,10,1.66,0.77,2.77,1.73,6.89,2,10,10,7.33,10,,,10,7.76,1,7.19,,6,9.71,2.72,8.31,5.65,6.48,7
2017,BLZ,Belize,6.67,101,3,6.14,19.13,8.43,6.26,4.12,35.57,9,25,,,9,,6.92,6.79,3.88,7.39,,,3.33,7.29,3.33,0.88,5.02,9.97,-0.13,9.53,1.17,9.78,1.1,0,7.32,7.47,3.79,7.68,11.6,4.29,14.27,6.48,4.27,5.82,5.05,10,1.66,0,10,3.89,6.35,10,7.82,10,9.27,7.77,4.97,7.99,8,6.55,10,7.55,3.72,4.67,8.26,,8.84,,6.37,7.73
2017,BOL,Bolivia,6.39,116,3,5.85,20.1,8.84,4.77,0,64.73,10,13,10,13,10,5.7,6.08,3.16,2.7,3.13,5,4.44,4.49,6.75,2.81,1,4.06,9.81,-0.96,8.11,4.72,9.44,2.82,10,9.34,9.24,1.14,7.64,11.8,7.12,7.2,8,4.78,3.05,3.91,10,4.49,4.62,10,6.37,7.07,8,4.89,10,7.63,1.1,2.02,5.06,8,,3,3.84,1.83,2.22,8.12,5.78,5.66,5.06,4.78,5.42
